Número;Fecha de la reservación;Mes de reservación;País;Mes de reserva;Días de Anticipación;Fecha de entrada;Fecha de salida;Días;Vuelo;Carro;Lugar
111;21/3/2024;Marzo;Israel;Abril;21;11/4/2024;22/4/2024;11;-;Rav4;SJO
112;9/4/2024;Abril;Estados Unidos;Abril;3;12/4/2024;20/4/2024;8;-;Montero ;SJO
113;31/3/2024;Marzo;Guatemala;Abril;13;13/4/2024;19/4/2024;6;-;Rav4;SJO
114;11/3/2024;Marzo;Israel;Abril;37;17/4/2024;4/5/2024;17;-;ASX;SJO
115;18/3/2024;Marzo;Israel;Abril;30;17/4/2024;29/4/2024;12;-;Rush;SJO
116;27/3/2024;Marzo;Israel;Abril;21;17/4/2024;11/5/2024;24;-;Rav4;SJO
117;8/4/2024;Abril;Israel;Abril;9;17/4/2024;27/4/2024;10;-;Vitara;SJO
118;26/3/2024;Marzo;Israel;Abril;23;18/4/2024;29/4/2024;11;-;Terios;SJO
119;22/3/2024;Marzo;Estados Unidos;Abril;27;18/4/2024;22/4/2024;4;-;Terios;SJO
120;19/3/2024;Marzo;Israel;Abril;31;19/4/2024;7/5/2024;18;-;Vitara;SJO
121;15/3/2024;Marzo;Estados Unidos;Abril;36;20/4/2024;28/4/2024;8;UA1120;Rav4;LIR
122;11/2/2024;Enero;Israel;Abril;70;21/4/2024;2/5/2024;11;-;Montero ;SJO
123;22/3/2024;Marzo;Francia;Abril;31;22/4/2024;5/5/2024;13;-;Terios;SJO
124;24/4/2024;Abril;Estados Unidos;Abril;1;25/4/2024;3/5/2024;8;-;ASX;SJO
125;23/3/2024;Marzo;Israel;Abril;34;26/4/2024;7/5/2024;11;-;Vitara;SJO
126;3/3/2024;Marzo;Israel;Abril;55;27/4/2024;19/5/2024;22;-;Rav4;SJO
127;24/10/2023;Octubre;Perú;Abril;189;30/4/2024;8/5/2024;8;-;Vitara;SJO
128;26/4/2024;Abril;Israel;Abril;4;30/4/2024;8/5/2024;8;-;Rav4;SJO
129;10/3/2024;Marzo;España;Abril;51;30/4/2024;14/5/2024;14;EVE857;Vitara;SJO
130;28/4/2024;Abril;Israel;Mayo;4;2/5/2024;9/5/2024;7;-;Rush;SJO
131;29/4/2024;Abril;Israel;Mayo;4;3/5/2024;17/5/2024;14;-;Terios;SJO
132;22/3/2024;Marzo;Honduras;Mayo;43;4/5/2024;14/5/2024;10;AV651;Montero ;SJO
133;4/3/2024;Marzo;Brasil;Mayo;64;7/5/2024;20/5/2024;13;-;Terios;SJO
134;29/4/2024;Abril;Argentina;Mayo;9;8/5/2024;19/5/2024;11;AV698;Vitara;SJO
135;3/5/2024;Mayo;Canadá ;Mayo;5;8/5/2024;14/5/2024;6;AC959;Chery;SJO
136;25/2/2024;Febrero;España;Mayo;74;9/5/2024;19/5/2024;10;IB6317;ASX;SJO
137;6/5/2024;Mayo;Hungría;Mayo;7;13/5/2024;29/5/2024;16;-;Rav4;SJO
138;11/5/2024;Mayo;Israel;Mayo;4;15/5/2024;25/5/2024;10;-;Rav4;SJO
139;15/4/2024;Mayo;Estados Unidos;Mayo;32;17/5/2024;26/5/2024;9;AC957;Vitara;SJO
140;15/5/2024;Mayo;Estados Unidos;Mayo;3;18/5/2024;25/5/2024;7;-;Rush;SJO
141;7/5/2024;Mayo;Eslovaquia;Mayo;10;17/5/2024;31/5/2024;14;LX8036;Vitara;SJO
142;13/5/2024;Mayo;Estados Unidos;Mayo;5;18/5/2024;25/5/2024;7;-;Chery;SJO
143;7/5/2024;Mayo;Estados Unidos;Mayo;13;20/5/2024;27/5/2024;7;-;ASX;SJO
144;11/4/2024;Abril;Estados Unidos;Mayo;41;22/5/2024;29/5/2024;7;UA1917;Montero ;LIR
145;22/5/2024;Mayo;Perú;Mayo;3;25/5/2024;30/5/2024;5;-;Vitara;SJO
146;11/4/2024;Abril;Guatemala;Mayo;46;27/5/2024;1/6/2024;5;AV653;Rav4;SJO
147;11/4/2024;Abril;Guatemala;Mayo;46;27/5/2024;1/6/2024;5;AV653;Rav4;SJO
148;26/5/2024;Mayo;Israel;Mayo;2;28/5/2024;6/6/2024;9;-;ASX;SJO
149;6/5/2024;Mayo;Estados Unidos;Mayo;24;30/5/2024;6/6/2024;7;AA1377;Vitara;LIR
150;27/5/2024;Mayo;Israel;Junio;6;2/6/2024;23/8/2024;82;-;Rush;SJO
151;19/5/2024;Mayo;Reino Unido;Junio;14;2/6/2024;15/6/2024;13;AC959;Terios;SJO
152;21/5/2024;Mayo;España;Junio;13;3/6/2024;12/6/2024;9;IB6317;Chery;SJO
153;15/5/2024;Mayo;Israel;Junio;20;4/6/2024;25/6/2024;21;-;Vitara;SJO
154;22/5/2024;Mayo;Israel;Junio;18;9/6/2024;19/6/2024;10;-;Vitara;SJO
155;25/5/2024;Mayo;Estados Unidos;Junio;15;9/6/2024;21/6/2024;12;-;Montero ;SJO
156;29/4/2024;Abril;Israel;Junio;43;11/6/2024;26/6/2024;15;-;Rav4;SJO
157;16/5/2024;Mayo;Israel;Junio;26;11/6/2024;21/6/2024;10;-;ASX;SJO
158;20/3/2024;Marzo;Estados Unidos;Junio;84;12/6/2024;25/6/2024;13;AV633;Grand Vitara;SJO
159;6/6/2024;Mayo;Israel;Junio;7;13/6/2024;25/6/2024;12;-;Rav4;SJO
160;21/5/2024;Mayo;Israel;Junio;24;14/6/2024;21/6/2024;7;-;ASX;SJO
161;11/6/2024;Junio;Israel;Junio;3;14/6/2024;21/6/2024;7;-;Rav4;SJO
162;13/6/2024;Junio;Israel;Junio;1;14/6/2024;17/6/2024;3;-;Terios;SJO
163;13/6/2024;Junio;Israel;Junio;4;17/6/2024;25/6/2024;8;-;Rav4;SJO
